name,positions,body_type,short_passing,dribbling,long_passing,ball_control,agility,reactions,balance,stamina,interceptions,positioning,vision,composure,marking,standing_tackle
S. Zuber,"LWB,LM,LB,CM",Normal,0.7205882352941175,0.7948717948717949,0.5616438356164384,0.7428571428571427,0.7183098591549295,0.6842105263157894,0.6301369863013697,0.7391304347826086,0.7948717948717948,0.8076923076923077,0.7317073170731707,0.6935483870967742,0.7023809523809523,0.7530864197530864
C. Borges,"CDM,CM",Normal,0.7941176470588236,0.7051282051282051,0.7945205479452053,0.7142857142857142,0.5774647887323944,0.7017543859649122,0.5205479452054793,0.681159420289855,0.7692307692307692,0.8333333333333333,0.7439024390243902,0.7419354838709677,0.7619047619047619,0.7777777777777777
M. de Roon,"CM,CDM",Normal,0.75,0.6666666666666667,0.7397260273972603,0.7,0.5492957746478874,0.7543859649122806,0.6712328767123288,0.8985507246376812,0.8589743589743588,0.7435897435897436,0.7317073170731707,0.6935483870967742,0.8214285714285714,0.8148148148148148
F. Grillitsch,"CM,CDM",Lean,0.8235294117647058,0.7692307692307692,0.7808219178082192,0.7999999999999998,0.6338028169014085,0.7368421052631577,0.5890410958904109,0.5942028985507246,0.7564102564102564,0.7564102564102564,0.8048780487804879,0.7580645161290323,0.6904761904761905,0.7037037037037037
J. Cork,CM,Normal,0.7794117647058822,0.6794871794871795,0.7808219178082192,0.7571428571428571,0.5633802816901409,0.7368421052631577,0.6849315068493149,0.8985507246376812,0.8205128205128205,0.7307692307692308,0.7560975609756098,0.7258064516129032,0.8214285714285714,0.8024691358024691
J. Martin,"CM,CAM",Lean,0.8088235294117647,0.7692307692307692,0.821917808219178,0.7428571428571427,0.5915492957746479,0.7192982456140351,0.5753424657534245,0.7246376811594202,0.6538461538461537,0.7307692307692308,0.8048780487804879,0.6935483870967742,0.6666666666666666,0.7777777777777777
S. Meïté,"CM,CDM",Normal,0.8088235294117647,0.7820512820512819,0.7945205479452053,0.7714285714285714,0.619718309859155,0.7017543859649122,0.547945205479452,0.8115942028985508,0.7692307692307692,0.8076923076923077,0.7073170731707317,0.6774193548387097,0.7857142857142856,0.7901234567901234
A. Ekdal,"CM,CDM",Lean,0.8088235294117647,0.7435897435897436,0.7945205479452053,0.7714285714285714,0.5352112676056338,0.6666666666666667,0.5068493150684932,0.681159420289855,0.7435897435897435,0.7564102564102564,0.7682926829268293,0.6935483870967742,0.7619047619047619,0.7407407407407407
R. Freuler,CM,Normal,0.7794117647058822,0.7564102564102564,0.7671232876712328,0.7428571428571427,0.676056338028169,0.7192982456140351,0.547945205479452,0.7246376811594202,0.7564102564102564,0.8333333333333333,0.7560975609756098,0.6935483870967742,0.7857142857142856,0.7407407407407407
Javi Fuego,"CDM,CM",Normal,0.7647058823529411,0.5897435897435896,0.6986301369863013,0.6428571428571428,0.5774647887323944,0.7192982456140351,0.547945205479452,0.5507246376811594,0.8717948717948718,0.6025641025641026,0.7073170731707317,0.8548387096774193,0.8333333333333333,0.8271604938271604
K. El Ahmadi,"CDM,CM",Normal,0.7941176470588236,0.7307692307692308,0.8082191780821917,0.7285714285714284,0.7183098591549295,0.7543859649122806,0.6712328767123288,0.7681159420289856,0.7820512820512819,0.6794871794871795,0.7560975609756098,0.8064516129032258,0.6904761904761905,0.8024691358024691
Wendel,CM,Normal,0.7794117647058822,0.8205128205128205,0.7534246575342465,0.7571428571428571,0.7746478873239437,0.7017543859649122,0.6575342465753424,0.7536231884057971,0.7948717948717948,0.7435897435897436,0.7682926829268293,0.7903225806451613,0.7738095238095237,0.7777777777777777
S. Sydorchuk,"CM,CDM,CAM",Normal,0.7941176470588236,0.6923076923076923,0.7534246575342465,0.7428571428571427,0.4788732394366197,0.7192982456140351,0.3698630136986301,0.7246376811594202,0.8333333333333333,0.7435897435897436,0.7804878048780488,0.6935483870967742,0.738095238095238,0.7777777777777777
R. Vormer,"CM,RM,CF",Normal,0.8235294117647058,0.6538461538461537,0.7808219178082192,0.6714285714285713,0.5774647887323944,0.7368421052631577,0.6301369863013697,0.927536231884058,0.7948717948717948,0.8717948717948718,0.7926829268292683,0.6935483870967742,0.7857142857142856,0.7654320987654321
Javi García,"CDM,CM,CB",Normal,0.838235294117647,0.641025641025641,0.7671232876712328,0.7142857142857142,0.5492957746478874,0.6491228070175439,0.4383561643835617,0.7536231884057971,0.7948717948717948,0.6282051282051282,0.6463414634146342,0.7741935483870968,0.7142857142857142,0.8024691358024691
M. Schneiderlin,"CDM,CM",Lean,0.7794117647058822,0.6666666666666667,0.7397260273972603,0.7714285714285714,0.5915492957746479,0.6666666666666667,0.6575342465753424,0.7391304347826086,0.846153846153846,0.6666666666666667,0.6951219512195123,0.7096774193548387,0.7976190476190476,0.8024691358024691
Sérgio Oliveira,"CM,CDM",Normal,0.8235294117647058,0.7820512820512819,0.8082191780821917,0.7857142857142856,0.6056338028169014,0.6491228070175439,0.6301369863013697,0.5652173913043478,0.7435897435897435,0.7820512820512819,0.8414634146341463,0.6935483870967742,0.7142857142857142,0.7037037037037037
A. Mooy,"CM,CDM",Lean,0.838235294117647,0.7435897435897436,0.821917808219178,0.7714285714285714,0.647887323943662,0.6842105263157894,0.7123287671232876,0.7101449275362319,0.7307692307692307,0.8076923076923077,0.8048780487804879,0.7258064516129032,0.738095238095238,0.7654320987654321
M. Arnold,"CM,CDM,CAM",Normal,0.7941176470588236,0.7948717948717949,0.7945205479452053,0.7714285714285714,0.676056338028169,0.7368421052631577,0.6301369863013697,0.7101449275362319,0.7820512820512819,0.8205128205128205,0.7560975609756098,0.6935483870967742,0.7738095238095237,0.728395061728395
N. Bentaleb,"CM,CDM",Lean,0.8088235294117647,0.8461538461538463,0.7671232876712328,0.7999999999999998,0.732394366197183,0.7017543859649122,0.6849315068493149,0.681159420289855,0.8076923076923076,0.7307692307692308,0.8292682926829268,0.7419354838709677,0.6547619047619047,0.728395061728395
R. Bentancur,CM,Lean,0.8823529411764706,0.8717948717948718,0.7808219178082192,0.857142857142857,0.6338028169014085,0.6666666666666667,0.6438356164383561,0.855072463768116,0.6666666666666666,0.6282051282051282,0.7804878048780488,0.7580645161290323,0.7619047619047619,0.7407407407407407
P. Lees-Melou,CM,Lean,0.7941176470588236,0.8076923076923077,0.8082191780821917,0.7714285714285714,0.732394366197183,0.6842105263157894,0.5205479452054793,0.8405797101449275,0.6666666666666666,0.846153846153846,0.8048780487804879,0.6935483870967742,0.7142857142857142,0.691358024691358
P. Wernbloom,CDM,Normal,0.7352941176470589,0.6666666666666667,0.7123287671232876,0.7,0.4225352112676056,0.7192982456140351,0.4657534246575341,0.8405797101449275,0.8717948717948718,0.8205128205128205,0.7195121951219512,0.6935483870967742,0.7499999999999999,0.8271604938271604
M. Hasebe,"CB,CDM",Lean,0.838235294117647,0.6666666666666667,0.7534246575342465,0.7,0.647887323943662,0.8070175438596492,0.6986301369863013,0.6086956521739131,0.8333333333333333,0.6538461538461537,0.7804878048780488,0.8387096774193548,0.8928571428571428,0.8271604938271604
Fernando,"CDM,CM",Lean,0.7794117647058822,0.6666666666666667,0.7671232876712328,0.6857142857142857,0.676056338028169,0.7192982456140351,0.4931506849315069,0.8840579710144927,0.8717948717948718,0.6153846153846154,0.6463414634146342,0.6935483870967742,0.7738095238095237,0.8395061728395061
Iborra,"CDM,CM",Normal,0.8529411764705881,0.6794871794871795,0.8356164383561644,0.7857142857142856,0.3943661971830986,0.6842105263157894,0.136986301369863,0.5507246376811594,0.8076923076923076,0.846153846153846,0.7804878048780488,0.7096774193548387,0.8095238095238094,0.7901234567901234
B. Stambouli,"CB,CDM",Normal,0.7647058823529411,0.641025641025641,0.8082191780821917,0.7285714285714284,0.619718309859155,0.7368421052631577,0.6027397260273972,0.6956521739130435,0.8589743589743588,0.6282051282051282,0.7560975609756098,0.7580645161290323,0.869047619047619,0.8395061728395061
